"theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","theta_8","theta_9","theta_10","theta_11","theta_12","theta_13","theta_14","theta_15","theta_16","iteration"
1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.5,1e-08,1e-08,1e-08,1e-08,1e-08,1
1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,2
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,3
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,4
0.999,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,5
0.999,0.999,0.999,0.999,9.99999999994061e-09,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,6
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,7
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,8
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,9
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,10
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,11
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,12
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,13
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,14
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,15
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,0.999,1e-08,9.99999999473644e-09,0.999,16
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,17
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,0.999,0.999,18
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,19
0.999,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,9.99999999473644e-09,1e-08,0.999,0.999,20
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,21
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,22
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,23
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,24
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,9.99999993922529e-09,25
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,26
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,1e-08,9.99999999473644e-09,1e-08,0.999,0.999,27
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,28
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1.00000018497793e-08,0.999,0.999,29
0.999,9.99999999473644e-09,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,30
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,31
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,32
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,33
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,34
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,35
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,36
0.999,0.989624166556326,9.99999993922529e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,37
0.999,0.999,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,38
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,39
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,40
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,41
1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,0.999,0.999,42
0.999,0.999,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,0.999,0.999,43
0.999,9.99999999473644e-09,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,0.999,0.999,44
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,45
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,46
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,0.999,1e-08,47
0.999,1e-08,0.999,1e-08,9.99999999950693e-09,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,48
0.999,0.999,0.999,1e-08,9.99999999994061e-09,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,49
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,0.999,1e-08,50
0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,1e-08,0.999,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,51
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,52
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,53
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,54
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,55
1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,0.999,0.999,56
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,0.999,1e-08,1e-08,0.999,9.99999999994061e-09,0.999,0.999,57
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,58
1e-08,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,59
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,60
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,61
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,62
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,63
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,64
9.99999999473644e-09,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,65
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,9.99999993922529e-09,0.999,66
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1.00000000049366e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,67
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,68
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,69
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,70
0.999,1e-08,9.99999999994061e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.821118790672382,0.999,0.999,71
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,0.998999999999995,1e-08,1e-08,0.999,1e-08,9.99999999473644e-09,0.999,72
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,9.99999993922529e-09,1e-08,1e-08,0.999,1e-08,1e-08,0.999,73
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,74
0.999,0.999,9.99999993922529e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,75
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,76
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,77
1e-08,0.999,9.99999993922529e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,78
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,9.99999999473644e-09,1e-08,79
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,80
0.999,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,81
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,82
0.999,0.99899999999914,0.998999999999988,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,83
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,84
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,85
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,86
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,0.999,1e-08,87
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,88
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,89
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,90
0.994869970348293,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,0.999,0.999,91
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,92
1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,93
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.276194277986996,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,94
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,95
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,96
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,97
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,98
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,99
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,9.99999999473644e-09,100
0.999,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,101
0.999,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,102
0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1.00004238380537e-08,1e-08,0.999,103
1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,104
1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,105
1e-08,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,106
1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,107
1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,108
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,109
1e-08,0.999,1e-08,0.999,1e-08,1e-08,9.99999999950693e-09,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,110
1e-08,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,111
0.999,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,112
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,1e-08,1e-08,0.999,113
1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,9.99999993922529e-09,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,9.99999999473644e-09,114
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,9.99999999994061e-09,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,115
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,116
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999994061e-09,0.999,117
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.998999999999769,118
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,119
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,120
0.999,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,0.999,121
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,122
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,9.99999999473644e-09,123
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,124
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,0.999,1e-08,0.999,125
