"theta_1","theta_2","theta_3","theta_4","theta_5","theta_6","theta_7","theta_8","theta_9","theta_10","theta_11","theta_12","theta_13","theta_14","theta_15","theta_16","iteration"
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,126
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,127
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,128
0.999,0.999,1e-08,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1.00044485230363e-08,0.999,129
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,130
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,131
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,132
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,133
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1.00000239498201e-08,0.999,0.999,1e-08,1e-08,1.00000000104392e-08,0.999,1e-08,0.998999999999957,134
0.999,0.999,1.00000257048574e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,9.99999999994061e-09,1e-08,1e-08,1e-08,135
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,136
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.851537776029415,1e-08,1e-08,1e-08,0.987590647692098,4.01533270284809e-06,1e-08,0.999,137
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,138
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999993922529e-09,9.99999999994061e-09,1e-08,0.999,0.999,1e-08,0.999,139
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,140
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,141
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,142
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,143
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,144
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,145
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999993922529e-09,1e-08,1e-08,0.999,1e-08,1e-08,0.999,146
0.999,1e-08,9.99999999972377e-09,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,147
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,148
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,149
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,0.999,1e-08,1e-08,150
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,151
0.999,0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,0.999,1e-08,0.999,152
0.999,0.999,1.0001999207279e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,153
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,154
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,155
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,156
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,157
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,158
0.999,1e-08,0.850624911647898,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,159
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,0.0658920179999741,1e-08,0.999,1e-08,1e-08,1e-08,160
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.00637827995586162,1e-08,0.999,1e-08,0.999,161
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,162
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,163
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,164
0.999,1e-08,1.00000602769261e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1.00000598229643e-08,1e-08,0.999,1e-08,1e-08,0.999,165
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,166
0.999,0.999,1e-08,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,167
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,168
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,0.999,169
9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,9.99999999994061e-09,170
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,1e-08,0.999,1e-08,0.999,171
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,172
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,173
0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,174
0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.931350260827633,0.999,1e-08,1e-08,0.999,1e-08,0.999,9.99999999473644e-09,1e-08,175
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,1e-08,0.999,1e-08,0.999,1e-08,1e-08,176
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999473644e-09,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,177
1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1.00001038712827e-08,1e-08,0.999,1e-08,1e-08,9.99999999473644e-09,1e-08,178
1e-08,0.999,0.999,1e-08,9.99999999994061e-09,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1.00000038263356e-08,1e-08,1e-08,1e-08,179
0.999,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,1e-08,0.999,1e-08,180
1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,181
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,182
1e-08,0.999,1.00000000630562e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,183
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,0.999,1e-08,184
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,185
0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,186
1e-08,1.00000065031766e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,1e-08,0.999,9.99999999473644e-09,187
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,9.99999999994061e-09,1e-08,1e-08,1e-08,1e-08,0.999,0.999,188
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,189
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,190
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,191
1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,192
0.999,1e-08,9.99999993922529e-09,1e-08,1e-08,1e-08,1e-08,9.99999993922529e-09,0.999,9.99999999473644e-09,1e-08,1e-08,0.999,0.999,1e-08,0.999,193
9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,194
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,195
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,196
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,197
1.00000691805269e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,198
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,199
0.999,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,200
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,201
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,202
1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,9.99999999473644e-09,0.999,1e-08,203
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,9.99999999473644e-09,1e-08,204
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,205
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,0.999,1e-08,206
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,0.999,207
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,208
1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,209
0.999,1e-08,1e-08,1e-08,9.99999993922529e-09,1e-08,1e-08,0.0876447379599943,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,210
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,0.999,1e-08,0.999,1e-08,9.99999999473644e-09,211
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.982429606344126,1e-08,0.999,1e-08,9.99999999994061e-09,212
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,213
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,214
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,215
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1.00033063787482e-08,1e-08,216
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,9.99999999473644e-09,1e-08,217
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,218
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,0.999,0.999,1e-08,219
0.999,0.999,1e-08,1e-08,0.0127861526074977,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,220
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,221
0.999,1e-08,1e-08,1e-08,9.99999999473644e-09,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,0.999,1e-08,0.999,222
0.999,0.999,1e-08,1e-08,0.480441841245293,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,223
0.999,0.999,1e-08,1e-08,9.99999999473644e-09,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,0.999,1e-08,0.999,1e-08,1e-08,224
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,225
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,0.999,0.999,1e-08,1e-08,226
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,227
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,228
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,229
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,230
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,231
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,232
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,233
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,234
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,235
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,236
1e-08,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,237
0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,238
1e-08,0.999,1e-08,1e-08,9.99999993922529e-09,1e-08,1e-08,9.99999999473644e-09,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,9.99999999473644e-09,239
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,240
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,241
0.999,0.999,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,242
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,243
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,244
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,245
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,246
0.999,0.999,1e-08,1e-08,1.00000417388948e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1.00107426706474e-08,1e-08,0.999,1e-08,1e-08,247
0.999,0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,248
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,249
0.999,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,1e-08,0.999,0.999,1e-08,1e-08,1e-08,0.999,1e-08,1e-08,250
